"
Date","American Express (AXP)
","Amgen Inc (AMGN)
","Apple Inc (AAPL)
","Boeing Co (BA)
","Caterpillar Inc (CAT)
","Cisco Systems Inc (CSCO)
","(CVX)
","(GS)
","Home Depot Inc (HD)
","Honeywell International Inc (HON)
","IBM Corp  (IBM)
","Intel Corp (INTC)
","Johnson & Johnson (JNJ)
","Coca-Cola Co (KO)
","JPMorgan Chase & Co (JPM)
","McDonald\'s Corp (MCD)
","3M Co (MMM)
","Merck & Co inc (MRK)
","Microsoft (MSFT)
","Nike Inc (NKE)
","Procter & Gamble Co (PG)
","TRV
","UnitedHealth Group (UNH)
","Salesforce Inc (CRM)
","Verizon Communications Inc (VZ)
","Visa Inc (V)
","Walgreens Boots Alliance Inc (WBA)
","Walmart Inc (WMT)
","Walt Disney Co (DIS)
"
2014-03-31,78.024651,94.208847,16.906141,107.857635,75.810913,16.530016,78.845200,136.412003,63.192501,72.359749,121.607430,19.636204,75.361977,28.368536,46.222389,75.905327,98.469429,40.116394,34.774731,33.181839,60.910309,67.970284,70.622322,57.090000,29.695116,50.413006,47.956062,62.172745,73.450340
2014-04-01,79.012604,96.294037,17.060795,110.195465,76.146614,17.176935,78.904854,138.135361,63.392143,72.749802,122.877266,19.773146,75.139526,28.185080,46.191940,75.804672,99.100914,39.833729,35.139519,33.419933,60.713802,67.403191,70.493126,58.799999,29.807489,50.142082,47.810810,62.449318,74.826332
2014-04-02,78.543442,96.225311,17.089144,110.281410,78.298027,17.095142,79.136932,139.259308,63.847328,73.233429,122.277122,19.697071,75.361977,28.126377,46.337513,75.564651,98.716217,39.897324,35.080143,33.487324,60.555138,67.610847,70.294991,58.150002,29.851191,50.132744,48.188461,62.782856,74.918053
2014-04-03,79.047356,94.812263,16.970711,110.685356,78.236969,17.169500,78.931381,138.276855,63.408119,73.545464,121.733826,20.092684,75.385010,27.935600,46.475426,75.618866,98.817833,39.720665,34.791691,33.240246,60.532459,67.874397,70.846283,55.740002,30.038458,50.214497,48.725899,63.010639,74.936401
2014-04-04,77.474770,90.977905,16.751177,109.482079,77.947067,16.886938,78.772240,135.904129,62.865105,72.804413,121.152626,19.902485,75.507782,28.045660,45.824181,75.781448,98.614578,39.657066,33.824543,32.723598,60.283062,68.050125,70.226112,54.410000,29.988523,48.507275,47.970596,62.888596,73.780571
2014-04-07,75.241821,90.756424,16.488163,107.943581,77.138390,16.991037,77.804153,132.007828,61.595329,71.688889,122.889908,20.153547,75.101143,28.339190,45.203587,75.115555,97.554840,38.999886,33.765156,31.820604,60.827160,67.890388,69.838486,53.970001,30.038458,47.505367,47.280624,62.888596,72.588058
2014-04-08,75.146294,90.114807,16.487225,106.705925,78.114929,17.057957,78.109184,130.342773,61.579342,71.743523,122.112839,20.473083,75.231567,28.544651,45.088665,75.944061,97.874222,38.893879,33.782131,32.759537,61.477074,67.674744,69.476738,55.209999,30.429796,47.313862,46.350983,63.596317,72.991676
2014-04-09,77.083786,91.657707,16.703930,109.052330,78.572670,17.191805,78.971184,131.674820,62.098434,72.710793,124.229279,20.526337,75.914375,28.610697,45.410458,76.153099,98.600067,40.349583,34.333565,33.047066,61.582901,68.545319,70.105530,56.950001,30.284626,48.469902,47.585663,63.425468,73.817268
2014-04-10,74.164490,87.158844,16.488487,106.267578,78.015747,16.842316,77.373161,129.859848,61.315815,71.252075,123.622803,20.107903,74.065422,28.537317,43.977722,76.989357,97.242729,39.466286,33.391884,32.548393,61.280598,67.882401,68.899620,54.549999,29.962706,47.070984,46.045959,62.546944,71.101982
2014-04-11,73.452026,85.501373,16.366589,104.918175,77.397774,16.701046,77.598610,127.145828,60.453342,70.518784,123.313210,19.917694,74.318604,28.346521,42.368782,76.880959,96.095871,39.515732,33.264626,32.009296,61.031239,68.130013,68.003799,52.869999,29.710239,45.921944,46.670555,62.229706,70.643326
2014-04-14,74.286140,86.555420,16.431787,105.932381,78.412453,16.991037,78.705925,128.827530,60.668957,70.924416,124.943115,20.206800,74.525757,28.419903,42.108299,77.515892,96.647499,39.268410,33.239166,32.516945,61.068993,68.289742,68.201912,53.779999,29.836481,46.944855,47.694595,62.945530,71.202888
